genes,reaction,Phase
FASN,FAS100COA,G1
FASN,FAS120COA,G1
FASN,FAS140COA,G1
FASN,FAS160COA,G1
FASN,FAS180COA,G1
FASN,FAS80COA_L,G1
FASN,KAS8,G1
FASN,MCOATA,G1
FH,FUM,G1
FH,FUMm,G1
GAPDH,GAPD,G1
GNPAT,DHAPAx,G1
GOT2,3SALATAim,G1
GOT2,ASPTAm,G1
GOT2,CYSTAm,G1
GOT2,EHGLAT2m,G1
GOT2,EHGLATm,G1
GOT2,LCYSTATm,G1
GOT2,PHETA1m,G1
GOT2,TYRTAm,G1
HADHA,ACACT1rm,G1
HADHA,C2M26DCOAHLm,G1
HADHA,ECOAH12m,G1
HADHA,ECOAH1m,G1
HADHA,ECOAH9m,G1
HADHA,HACD1m,G1
HADHA,PRPNCOAHYDm,G1
HADHA,T2M26DCOAHLm,G1
HADHB,ACACT1rm,G1
HADHB,C2M26DCOAHLm,G1
HADHB,ECOAH12m,G1
HADHB,ECOAH1m,G1
HADHB,ECOAH9m,G1
HADHB,PRPNCOAHYDm,G1
HADHB,T2M26DCOAHLm,G1
HSD17B4,C3STKR2r,G1
HSD17B4,FAOXC16080x,G1
HSD17B4,FAOXC180x,G1
HSD17B4,FAOXC183806x,G1
HSD17B4,FAOXC18480x,G1
HSD17B4,FAOXC200180x,G1
HSD17B4,FAOXC2051843x,G1
HSD17B4,FAOXC2242046x,G1
HSD17B4,FAOXC2251836x,G1
HSD17B4,FAOXC2252053x,G1
HSD17B4,FAOXC226205x,G1
HSD17B4,FAOXC240200x,G1
HSD17B4,FAOXC241181x,G1
HSD17B4,FAOXC2442246x,G1
HSD17B4,FAOXC2452253x,G1
HSD17B4,FAOXC2452256x,G1
HSD17B4,FAOXC246226x,G1
HSD17B4,FAOXC260240x,G1
HSD17B4,HACD1x,G1
HSD17B4,HSD17B42x,G1
HSD17B4,HSD17B4x,G1
HSD17B4,PEROXx,G1
LDHA,2HBO,G1
LDHA,GLXO1,G1
LDHA,HPYRR2x,G1
LDHA,LDH_L,G1
LDHA,LDH_Lm,G1
LDHA,MCLOR,G1
LDHB,2HBO,G1
LDHB,GLXO1,G1
LDHB,HPYRR2x,G1
LDHB,LDH_L,G1
LDHB,MCLOR,G1
MDH2,MDHm,G1
MDH2,SLDxm,G1
MTHFD1L,FTHFLm,G1
MTHFD1L,MTHFCm,G1
MTHFD1L,MTHFDm,G1
MTHFD2,MTHFCm,G1
MTHFD2,MTHFD2m,G1
MTHFD2,MTHFDm,G1
NUDT5,ADPGLC,G1
NUDT5,ADPMAN,G1
NUDT5,ADPRDP,G1
OXCT1,OCOAT1m,G1
PDHB,PDHm,G1
PGAM1,DPGM,G1
PGAM1,DPGase,G1
PPA1,PPA,G1
RRM1,RNDR1,G1
RRM1,RNDR2,G1
RRM1,RNDR3,G1
RRM1,RNDR4,G1
SCP2,SCP21x,G1
SCP2,SCP22x,G1
SCP2,SCP2x,G1
SCP2,SCP3x,G1
SCP2,SCPx,G1
SDHA,SUCD1m,G1
SHMT2,GHMT2rm,G1
SUCLG2,ITCOAL1m,G1
SUCLG2,MECOAS1m,G1
SUCLG2,SUCOAS1m,G1
TPI1,TPI,G1
ACACB,ACCOAC,S
ACAD11,ACOAD1fm,S
ACAD11,PPCOAOm,S
ACAT1,ACACT10m,S
ACAT1,ACACT1rm,S
ACLY,ACITL,S
AHCY,AHC,S
AHCY,SEAHCYSHYD,S
ALDOC,FBA,S
ALDOC,FBA2,S
ALDOC,FBA4,S
ATP6V1E1,ATPasel,S
ATP6V1E2,ATPasel,S
BLVRA,BILIRED,S
CAD,CBPS,S
CAT,CAT2p,S
CAT,CATm,S
CAT,CATp,S
DLD,2OXOADOXm,S
DLD,AKGDm,S
DLD,GCC2am,S
DLD,GCC2bim,S
DLD,GCC2cm,S
DLD,GCCam,S
DLD,GCCbim,S
DLD,GCCcm,S
DLD,OIVD1m,S
DLD,OIVD2m,S
DLD,OIVD3m,S
DLD,PDHm,S
DNMT1,DNAMTSEn,S
FASN,ACOATA,S
FASN,FAS100COA,S
FASN,FAS120COA,S
FASN,FAS140COA,S
FASN,FAS160COA,S
FASN,FAS180COA,S
FASN,FAS80COA_L,S
FASN,KAS8,S
FASN,MCOATA,S
FH,FUM,S
FH,FUMm,S
GAPDH,GAPD,S
GMPS,GMPS2,S
GNPAT,DHAPA,S
GNPAT,DHAPAx,S
GOT2,3SALATAim,S
GOT2,ASPTAm,S
GOT2,CYSTAm,S
GOT2,EHGLAT2m,S
GOT2,EHGLATm,S
GOT2,LCYSTATm,S
GOT2,PHETA1m,S
GOT2,TYRTAm,S
HADH,HACD1m,S
HADHA,ACACT1rm,S
HADHA,C2M26DCOAHLm,S
HADHA,ECOAH12m,S
HADHA,ECOAH1m,S
HADHA,ECOAH9m,S
HADHA,HACD1m,S
HADHA,PRPNCOAHYDm,S
HADHA,T2M26DCOAHLm,S
HADHB,ACACT1rm,S
HADHB,C2M26DCOAHLm,S
HADHB,ECOAH12m,S
HADHB,ECOAH1m,S
HADHB,ECOAH9m,S
HADHB,HACD1m,S
HADHB,PRPNCOAHYDm,S
HADHB,T2M26DCOAHLm,S
HAL,HISD,S
HMGCL,HMGLm,S
HSD17B4,C3STKR2r,S
HSD17B4,FAOXC16080x,S
HSD17B4,FAOXC180x,S
HSD17B4,FAOXC183806x,S
HSD17B4,FAOXC18480x,S
HSD17B4,FAOXC200180x,S
HSD17B4,FAOXC2051843x,S
HSD17B4,FAOXC2242046x,S
HSD17B4,FAOXC2251836x,S
HSD17B4,FAOXC2252053x,S
HSD17B4,FAOXC226205x,S
HSD17B4,FAOXC240200x,S
HSD17B4,FAOXC241181x,S
HSD17B4,FAOXC2442246x,S
HSD17B4,FAOXC2452253x,S
HSD17B4,FAOXC2452256x,S
HSD17B4,FAOXC246226x,S
HSD17B4,FAOXC260240x,S
HSD17B4,HACD1x,S
HSD17B4,HSD17B42x,S
HSD17B4,HSD17B4x,S
HSD17B4,PEROXx,S
IMPDH2,IMPD,S
LDHA,2HBO,S
LDHA,GLXO1,S
LDHA,HPYRR2x,S
LDHA,LDH_L,S
LDHA,LDH_Lm,S
LDHA,MCLOR,S
LDHB,2HBO,S
LDHB,GLXO1,S
LDHB,HPYRR2x,S
LDHB,LDH_L,S
LDHB,MCLOR,S
MCCC1,MCCCrm,S
MDH2,MDHm,S
MDH2,SLDxm,S
MTHFD1L,FTHFLm,S
MTHFD1L,MTHFCm,S
MTHFD1L,MTHFDm,S
MTHFD2,MTHFCm,S
MTHFD2,MTHFD2m,S
MTHFD2,MTHFDm,S
NUDT5,ADPGLC,S
NUDT5,ADPMAN,S
NUDT5,ADPRDP,S
OXCT1,OCOAT1m,S
PGAM1,DPGM,S
PGAM1,DPGase,S
PPA1,PPA,S
PPAT,GLUPRT,S
RRM1,RNDR1,S
RRM1,RNDR2,S
RRM1,RNDR3,S
RRM1,RNDR4,S
SCP2,SCP21x,S
SCP2,SCP22x,S
SCP2,SCP2x,S
SCP2,SCP3x,S
SCP2,SCPx,S
SDHA,SUCD1m,S
SHMT2,GHMT2rm,S
SHMT2,GHMT3m,S
SUCLG2,ITCOAL1m,S
SUCLG2,MECOAS1m,S
SUCLG2,SUCOAS1m,S
TKT,TKT1,S
TKT,TKT2,S
TPH1,TRPHYDRO2,S
TPI1,TPI,S
ACAD11,ACOAD1fm,G2
ACAD11,PPCOAOm,G2
ACAT1,ACACT10m,G2
ACAT1,ACACT1rm,G2
ACLY,ACITL,G2
AHCY,AHC,G2
AHCY,SEAHCYSHYD,G2
ALDOC,FBA,G2
ALDOC,FBA2,G2
ALDOC,FBA4,G2
ATP6V1E1,ATPasel,G2
ATP6V1E2,ATPasel,G2
BLVRA,BILIRED,G2
CAT,CAT2p,G2
CAT,CATm,G2
CAT,CATp,G2
DLD,2OXOADOXm,G2
DLD,AKGDm,G2
DLD,GCC2am,G2
DLD,GCC2bim,G2
DLD,GCC2cm,G2
DLD,GCCam,G2
DLD,GCCbim,G2
DLD,GCCcm,G2
DLD,OIVD1m,G2
DLD,OIVD2m,G2
DLD,OIVD3m,G2
DLD,PDHm,G2
DNMT1,DNAMTSEn,G2
ENO1,ENO,G2
ENO2,ENO,G2
FASN,ACOATA,G2
FASN,FAS100COA,G2
FASN,FAS120COA,G2
FASN,FAS140COA,G2
FASN,FAS160COA,G2
FASN,FAS180COA,G2
FASN,FAS80COA_L,G2
FASN,KAS8,G2
FASN,MCOATA,G2
FH,FUM,G2
FH,FUMm,G2
GAPDH,GAPD,G2
GMPS,GMPS2,G2
GNPAT,DHAPAx,G2
GOT2,3SALATAim,G2
GOT2,ASPTAm,G2
GOT2,CYSTAm,G2
GOT2,EHGLAT2m,G2
GOT2,EHGLATm,G2
GOT2,LCYSTATm,G2
GOT2,PHETA1m,G2
GOT2,TYRTAm,G2
HADH,HACD1m,G2
HADHA,ACACT1rm,G2
HADHA,C2M26DCOAHLm,G2
HADHA,ECOAH12m,G2
HADHA,ECOAH1m,G2
HADHA,ECOAH9m,G2
HADHA,HACD1m,G2
HADHA,PRPNCOAHYDm,G2
HADHA,T2M26DCOAHLm,G2
HADHB,C2M26DCOAHLm,G2
HADHB,ECOAH12m,G2
HADHB,ECOAH1m,G2
HADHB,ECOAH9m,G2
HADHB,HACD1m,G2
HADHB,PRPNCOAHYDm,G2
HADHB,T2M26DCOAHLm,G2
HAL,HISD,G2
HMGCL,HMGLm,G2
HSD17B4,C3STKR2r,G2
HSD17B4,FAOXC16080x,G2
HSD17B4,FAOXC180x,G2
HSD17B4,FAOXC183806x,G2
HSD17B4,FAOXC18480x,G2
HSD17B4,FAOXC200180x,G2
HSD17B4,FAOXC2051843x,G2
HSD17B4,FAOXC2242046x,G2
HSD17B4,FAOXC2251836x,G2
HSD17B4,FAOXC2252053x,G2
HSD17B4,FAOXC226205x,G2
HSD17B4,FAOXC240200x,G2
HSD17B4,FAOXC241181x,G2
HSD17B4,FAOXC2442246x,G2
HSD17B4,FAOXC2452253x,G2
HSD17B4,FAOXC2452256x,G2
HSD17B4,FAOXC246226x,G2
HSD17B4,FAOXC260240x,G2
HSD17B4,HACD1x,G2
HSD17B4,HSD17B42x,G2
HSD17B4,HSD17B4x,G2
HSD17B4,PEROXx,G2
LDHA,2HBO,G2
LDHA,GLXO1,G2
LDHA,HPYRR2x,G2
LDHA,LDH_L,G2
LDHA,LDH_Lm,G2
LDHA,MCLOR,G2
LDHB,2HBO,G2
LDHB,GLXO1,G2
LDHB,HPYRR2x,G2
LDHB,LDH_L,G2
LDHB,MCLOR,G2
MDH2,MDHm,G2
MDH2,SLDxm,G2
MTHFD1L,FTHFLm,G2
MTHFD1L,MTHFCm,G2
MTHFD1L,MTHFDm,G2
MTHFD2,MTHFCm,G2
MTHFD2,MTHFD2m,G2
MTHFD2,MTHFDm,G2
NUDT5,ADPGLC,G2
NUDT5,ADPMAN,G2
NUDT5,ADPRDP,G2
OXCT1,OCOAT1m,G2
PAICS,AIRCr,G2
PAICS,PRASCS,G2
PGAM1,DPGM,G2
PGAM1,DPGase,G2
PGAM1,PGM,G2
PPA1,PPA,G2
PPAT,GLUPRT,G2
PRPS1,PRPPS,G2
PRPS2,PRPPS,G2
RRM1,RNDR1,G2
RRM1,RNDR2,G2
RRM1,RNDR3,G2
RRM1,RNDR4,G2
SCP2,SCP21x,G2
SCP2,SCP22x,G2
SCP2,SCP2x,G2
SCP2,SCP3x,G2
SCP2,SCPx,G2
SDHA,SUCD1m,G2
SHMT2,GHMT2rm,G2
SUCLG2,ITCOAL1m,G2
SUCLG2,MECOAS1m,G2
SUCLG2,SUCOAS1m,G2
TKT,TKT1,G2
TKT,TKT2,G2
TPI1,TPI,G2
